Date,One-Year,Crash,Buy-Dips,Valuation
2020-01-01,75.2,65.3,82.1,70.5
2020-04-01,62.4,58.7,78.3,65.2
2020-07-01,68.9,61.2,80.5,68.7
2020-10-01,72.1,63.8,81.7,69.8
2021-01-01,77.8,66.9,83.4,71.2
2021-04-01,80.3,68.5,84.2,72.6
2021-07-01,79.1,67.8,83.9,72.1
2021-10-01,76.5,66.1,82.8,70.9
2022-01-01,73.2,64.5,81.4,69.3
2022-04-01,70.8,62.9,80.1,68.1
2022-07-01,68.4,61.3,78.8,66.9
2022-10-01,66.1,59.7,77.5,65.7
2023-01-01,69.5,62.1,79.2,67.8
2023-04-01,71.9,63.6,80.6,69.1
2023-07-01,74.3,65.2,82.0,70.4
